"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"43-74-31-52","9",1,1000000,36,1,1,7972.169921875,"Hombre",1000000
"60-09-74-26","9",1,360000,51,1,2,11122.23828125,"Hombre",360000
"02-69-42-60","10",1,750000,37,1,1,2998.97875976562,"Hombre",750000
"76-23-66-06","10",1,2300000,48,1,1,4859.43212890625,"Hombre",2300000
"10-74-98-66","10",1,700000,33,1,2,4787.95703125,"Hombre",700000
"65-48-77-73","10",1,-999,44,1,1,18199.40234375,"Hombre",401500
"49-40-50-84","10",1,-999,51,1,1,25528.255859375,"Hombre",401500
"23-54-71-02","10",1,300000,68,1,1,9462.728515625,"Hombre",300000
"87-19-80-37","10",1,NA,66,1,1,14834.2568359375,"Hombre",401500
"08-28-40-26","10",1,405000,24,1,2,14236.572265625,"Hombre",405000
"97-44-99-79","10",1,430000,23,1,2,6143.3544921875,"Hombre",430000
"95-82-58-05","10",1,200000,51,1,1,19286.69921875,"Hombre",200000
"01-84-56-29","10",1,NA,51,1,1,9317.6103515625,"Hombre",401500
"59-29-41-12","10",1,550000,47,1,1,13215.0751953125,"Hombre",550000
"53-76-18-26","10",1,150000,43,1,1,4824.9970703125,"Hombre",150000
"84-99-27-24","10",1,500000,29,1,1,9244.7705078125,"Hombre",500000
"30-99-58-84","10",1,NA,18,1,1,12508.2998046875,"Hombre",401500
"85-76-94-84","10",1,600000,28,1,2,17683.001953125,"Hombre",600000
"61-69-20-44","10",1,200000,19,1,1,10155.7978515625,"Hombre",200000
"18-76-79-06","10",1,800000,28,2,2,11539.3056640625,"Hombre",800000
"53-85-36-45","11",1,600000,31,1,1,1172.59020996094,"Hombre",600000
"85-61-30-17","11",1,250000,43,1,1,1200.01501464844,"Hombre",250000
"39-69-40-17","11",1,670000,28,1,1,875.530822753906,"Hombre",670000
"34-04-73-53","11",1,695000,36,1,1,381.414855957031,"Hombre",695000
"08-26-12-97","11",1,500000,68,1,1,1092.99304199219,"Hombre",500000
"74-83-91-02","11",1,-999,51,1,2,1679.77160644531,"Hombre",401500
"62-23-60-99","11",1,-999,45,1,1,1626.18579101562,"Hombre",401500
"77-02-69-72","11",1,NA,58,1,1,810.254516601562,"Hombre",401500
"20-37-36-21","11",1,750000,53,1,1,569.130249023438,"Hombre",750000
"49-38-83-93","11",1,400000,34,1,1,415.738037109375,"Hombre",400000
"66-60-63-08","11",1,NA,73,1,1,572.167114257812,"Hombre",401500
"87-15-83-75","11",1,-999,53,1,1,1084.53210449219,"Hombre",401500
"41-10-99-66","11",1,NA,70,1,1,3426.59350585938,"Hombre",401500
"32-39-05-70","11",1,500000,28,1,1,114.405738830566,"Hombre",500000
"71-51-59-51","11",1,260000,21,2,1,730.045959472656,"Hombre",260000
"32-42-38-91","12",1,NA,45,1,2,1320.3662109375,"Hombre",401500
"84-03-78-27","12",1,1100000,37,1,1,408.196228027344,"Hombre",1100000
"92-69-80-44","12",1,1200000,46,1,1,449.797424316406,"Hombre",1200000
"09-79-66-62","12",1,NA,67,1,1,582.940979003906,"Hombre",401500
"24-92-42-78","12",1,NA,62,1,2,345.364379882812,"Hombre",401500
"47-56-09-64","12",1,550000,30,1,2,746.33349609375,"Hombre",550000
"20-75-25-52","12",1,550000,29,1,2,1011.44079589844,"Hombre",550000
"12-43-76-43","12",1,NA,73,1,2,383.510650634766,"Hombre",401500
"55-76-23-70","12",1,2000000,44,1,1,515.283081054688,"Hombre",2000000
"63-86-33-13","12",1,490000,63,1,1,949.806213378906,"Hombre",490000
"19-40-92-52","12",1,320000,34,1,1,1941.40148925781,"Hombre",320000
"62-99-19-42","12",1,NA,70,1,1,452.104278564453,"Hombre",401500
"51-93-79-08","12",1,550000,27,1,2,1433.33068847656,"Hombre",550000
"67-71-52-23","13",1,91000,23,1,1,5768.03759765625,"Hombre",91000
"72-53-40-98","13",1,NA,38,2,1,49098.71484375,"Hombre",401500
"76-98-56-13","13",1,NA,20,1,1,43986.6953125,"Hombre",401500
"21-23-63-37","13",1,850000,53,1,1,7092.8193359375,"Hombre",850000
"84-87-86-16","13",1,1000000,45,1,1,13802.21484375,"Hombre",1000000
"18-25-42-80","13",1,-999,44,1,2,86039.8828125,"Hombre",401500
"06-25-87-31","13",1,NA,63,2,2,51185.0078125,"Hombre",401500
"17-97-49-72","13",1,0,72,1,1,8074.82861328125,"Hombre",0
"63-68-09-31","13",1,NA,42,1,1,88386.3125,"Hombre",401500
"34-01-91-31","13",1,450000,35,2,1,20085.916015625,"Hombre",450000
"04-65-19-28","13",1,600000,49,1,1,52110.30078125,"Hombre",600000
"86-83-94-43","13",1,-999,64,1,1,3957.89428710938,"Hombre",401500
"60-47-89-65","13",1,30000,72,1,1,6907.5927734375,"Hombre",30000
"34-73-07-62","13",1,600000,44,1,1,7616.89990234375,"Hombre",600000
"30-86-51-72","13",1,1300000,59,1,1,6206.3095703125,"Hombre",1300000
"97-97-34-23","13",1,350000,54,1,1,17221.59765625,"Hombre",350000
"85-71-44-34","13",1,200000,21,1,2,37443.95703125,"Hombre",200000
"69-26-94-23","13",1,700000,58,1,1,11647.7265625,"Hombre",700000
"23-21-46-34","13",1,-999,80,1,1,2433.46069335938,"Hombre",401500
"94-92-33-11","13",1,120000,21,1,2,23037.080078125,"Hombre",120000
"41-74-44-60","13",1,3500000,36,1,1,22417.064453125,"Hombre",3500000
"79-33-15-13","13",1,-999,43,1,1,156350.140625,"Hombre",401500
"56-59-12-43","13",1,-999,43,1,1,102104.9296875,"Hombre",401500
"03-39-68-41","13",1,2000000,51,1,1,22177.86328125,"Hombre",2000000
"85-99-47-33","13",1,NA,76,1,1,6246.1875,"Hombre",401500
"25-02-38-12","13",1,800000,47,1,1,5263.787109375,"Hombre",800000
"28-11-64-42","13",1,600000,67,2,1,34418.8125,"Hombre",600000
"96-24-96-26","13",1,180000,24,1,1,55579.77734375,"Hombre",180000
"70-71-26-55","13",1,NA,25,1,1,88112.375,"Hombre",401500
"28-85-22-80","13",1,NA,21,1,1,73271.0390625,"Hombre",401500
"12-26-91-71","13",1,NA,19,1,1,16030.9609375,"Hombre",401500
"38-46-94-41","13",1,NA,71,1,1,15553.068359375,"Hombre",401500
"32-24-56-75","13",1,1750000,53,1,1,18336,"Hombre",1750000
"60-16-01-27","13",1,2100000,40,1,1,6391.54638671875,"Hombre",2100000
"39-45-74-69","13",1,360000,26,1,1,49612.125,"Hombre",360000
"59-14-89-08","13",1,600000,55,1,1,8321.1982421875,"Hombre",600000
"92-07-57-28","13",1,740000,34,1,1,14022.7939453125,"Hombre",740000
"17-09-14-49","13",1,NA,31,1,1,27592.6171875,"Hombre",401500
"87-12-26-42","13",1,0,54,1,1,20055.01953125,"Hombre",0
"97-41-27-23","13",1,400000,27,2,2,22912.970703125,"Hombre",400000
"88-49-96-85","13",1,620000,33,1,1,29758.21484375,"Hombre",620000
"47-28-36-41","13",1,285000,19,1,1,79034.53125,"Hombre",285000
"54-80-17-12","13",1,NA,67,1,1,191940.109375,"Hombre",401500
"09-12-85-55","13",1,400000,47,1,1,25266.037109375,"Hombre",400000
"15-92-98-34","13",1,300000,22,1,1,44023.12890625,"Hombre",300000
"98-71-59-94","13",1,1000000,31,1,1,9140.451171875,"Hombre",1000000
